Column,Class,Precision,Recall,F1-score,Support,Accuracy
Pain_Knee_Left,1,0.41,0.46,0.44,151,0.46357615894039733
Pain_Knee_Right,0,0.63,0.54,0.58,218,0.536697247706422
Pain_Knee_Right,1,0.44,0.53,0.48,148,0.527027027027027
Pain_Lower_Leg_Left,0,0.78,0.74,0.76,279,0.7383512544802867
Pain_Lower_Leg_Left,1,0.28,0.33,0.31,87,0.3333333333333333
Pain_Lower_Leg_Right,0,0.76,0.67,0.71,281,0.6654804270462633
Pain_Lower_Leg_Right,1,0.22,0.32,0.26,85,0.3176470588235294
Pain_Ankle_Left,0,0.77,0.7,0.73,273,0.6996336996336996
Pain_Ankle_Left,1,0.31,0.4,0.35,93,0.3978494623655914
Pain_Ankle_Right,0,0.82,0.68,0.74,287,0.6759581881533101
Pain_Ankle_Right,1,0.28,0.47,0.35,79,0.46835443037974683
Restless_Legs_Syndrome,0,0.77,0.76,0.77,280,0.7642857142857142
Restless_Legs_Syndrome,1,0.25,0.26,0.25,86,0.2558139534883721
Dizziness_Fall_Tendency,0,0.83,0.81,0.82,304,0.8092105263157895
Dizziness_Fall_Tendency,1,0.18,0.21,0.2,62,0.20967741935483872
Body_Vibration,0,0.94,0.94,0.94,342,0.9385964912280702
Body_Vibration,1,0.12,0.12,0.12,24,0.125
Restless_Sleep,0,0.67,0.48,0.56,212,0.4811320754716981
Restless_Sleep,1,0.48,0.67,0.56,154,0.6688311688311688
Lack_Of_Drive,0,0.73,0.62,0.67,269,0.6171003717472119
Lack_Of_Drive,1,0.25,0.36,0.3,97,0.36082474226804123
Concentration_Difficulty,0,0.75,0.66,0.7,273,0.6556776556776557
Concentration_Difficulty,1,0.27,0.37,0.31,93,0.3655913978494624
Pain_Wrist_Left,0,0.85,0.77,0.8,315,0.765079365079365
Pain_Wrist_Left,1,0.09,0.14,0.11,51,0.13725490196078433
Pain_Wrist_Right,0,0.81,0.73,0.77,295,0.7322033898305085
Pain_Wrist_Right,1,0.21,0.3,0.25,71,0.29577464788732394
Pain_Elbow_Left,0,0.92,0.9,0.91,334,0.9041916167664671
Pain_Elbow_Left,1,0.16,0.19,0.17,32,0.1875
Pain_Elbow_Right,0,0.87,0.85,0.86,316,0.8512658227848101
Pain_Elbow_Right,1,0.19,0.22,0.2,50,0.22
Pain_Finger_Left,0,0.78,0.75,0.76,276,0.7463768115942029
Pain_Finger_Left,1,0.32,0.37,0.34,90,0.36666666666666664
Pain_Finger_Right,0,0.79,0.72,0.75,272,0.7242647058823529
Pain_Finger_Right,1,0.35,0.44,0.39,94,0.43617021276595747
Pain_Upper_Arm_Left,0,0.85,0.88,0.87,310,0.8806451612903226
Pain_Upper_Arm_Left,1,0.2,0.16,0.18,56,0.16071428571428573
Pain_Upper_Arm_Right,0,0.82,0.76,0.79,299,0.7558528428093646
Pain_Upper_Arm_Right,1,0.19,0.25,0.22,67,0.2537313432835821
Pain_Thumb_Left,0,0.83,0.78,0.81,301,0.7840531561461794
Pain_Thumb_Left,1,0.22,0.28,0.24,65,0.27692307692307694
Pain_Thumb_Right,0,0.8,0.77,0.79,287,0.7735191637630662
Pain_Thumb_Right,1,0.27,0.3,0.29,79,0.3037974683544304
Pain_Forearm_Left,0,0.92,0.92,0.92,335,0.9223880597014925
Pain_Forearm_Left,1,0.1,0.1,0.1,31,0.0967741935483871
Pain_Forearm_Right,0,0.9,0.88,0.89,328,0.8841463414634146
Pain_Forearm_Right,1,0.14,0.16,0.15,38,0.15789473684210525
