Column,Class,Precision,Recall,F1-score,Support,Accuracy
Pain_Buttock_Thigh_Left,1,0.37,0.36,0.36,128,0.359375
Pain_Buttock_Thigh_Right,0,0.65,0.52,0.58,230,0.5217391304347826
Pain_Buttock_Thigh_Right,1,0.39,0.51,0.44,136,0.5147058823529411
Pain_Knee_Left,0,0.65,0.34,0.45,212,0.3443396226415094
Pain_Knee_Left,1,0.45,0.74,0.56,154,0.7402597402597403
Pain_Knee_Right,0,0.63,0.15,0.24,205,0.15121951219512195
Pain_Knee_Right,1,0.45,0.89,0.6,161,0.8881987577639752
Pain_Lower_Leg_Left,0,0.74,0.91,0.82,272,0.9117647058823529
Pain_Lower_Leg_Left,1,0.25,0.09,0.13,94,0.0851063829787234
Pain_Lower_Leg_Right,0,0.73,0.95,0.83,268,0.9514925373134329
Pain_Lower_Leg_Right,1,0.28,0.05,0.09,98,0.05102040816326531
Pain_Ankle_Left,0,0.78,0.89,0.83,278,0.8884892086330936
Pain_Ankle_Left,1,0.35,0.19,0.25,88,0.19318181818181818
Pain_Ankle_Right,0,0.74,0.88,0.8,270,0.8814814814814815
Pain_Ankle_Right,1,0.26,0.11,0.16,96,0.11458333333333333
Restless_Legs_Syndrome,0,0.78,0.98,0.87,284,0.9788732394366197
Restless_Legs_Syndrome,1,0.25,0.02,0.04,82,0.024390243902439025
Dizziness_Fall_Tendency,0,0.84,0.98,0.9,307,0.9837133550488599
Dizziness_Fall_Tendency,1,0.0,0.0,0.0,59,0.0
Body_Vibration,0,0.9,1.0,0.95,331,1.0
Body_Vibration,1,0.0,0.0,0.0,35,0.0
Restless_Sleep,0,0.64,0.39,0.49,186,0.3924731182795699
Restless_Sleep,1,0.55,0.77,0.64,180,0.7722222222222223
Lack_Of_Drive,0,0.7,0.87,0.78,255,0.8666666666666667
Lack_Of_Drive,1,0.33,0.15,0.21,111,0.15315315315315314
Concentration_Difficulty,0,0.74,0.92,0.82,271,0.922509225092251
Concentration_Difficulty,1,0.28,0.08,0.13,95,0.08421052631578947
Pain_Wrist_Left,0,0.82,0.99,0.9,300,0.99
Pain_Wrist_Left,1,0.25,0.02,0.03,66,0.015151515151515152
Pain_Wrist_Right,0,0.79,0.96,0.87,285,0.9614035087719298
Pain_Wrist_Right,1,0.45,0.11,0.18,81,0.1111111111111111
Pain_Elbow_Left,0,0.88,1.0,0.94,322,0.9968944099378882
Pain_Elbow_Left,1,0.5,0.02,0.04,44,0.022727272727272728
Pain_Elbow_Right,0,0.85,0.99,0.92,311,0.9935691318327974
Pain_Elbow_Right,1,0.33,0.02,0.03,55,0.01818181818181818
Pain_Finger_Left,0,0.76,0.92,0.83,278,0.9172661870503597
Pain_Finger_Left,1,0.28,0.1,0.15,88,0.10227272727272728
Pain_Finger_Right,0,0.76,0.85,0.8,272,0.8492647058823529
Pain_Finger_Right,1,0.35,0.23,0.28,94,0.23404255319148937
Pain_Upper_Arm_Left,0,0.85,1.0,0.92,309,1.0
Pain_Upper_Arm_Left,1,1.0,0.02,0.03,57,0.017543859649122806
Pain_Upper_Arm_Right,0,0.79,0.97,0.87,287,0.9721254355400697
Pain_Upper_Arm_Right,1,0.33,0.05,0.09,79,0.05063291139240506
Pain_Thumb_Left,0,0.84,0.97,0.9,305,0.9704918032786886
Pain_Thumb_Left,1,0.25,0.05,0.08,61,0.04918032786885246
Pain_Thumb_Right,0,0.81,0.92,0.86,289,0.9238754325259516
Pain_Thumb_Right,1,0.37,0.17,0.23,77,0.16883116883116883
Pain_Forearm_Left,0,0.92,1.0,0.96,337,1.0
Pain_Forearm_Left,1,0.0,0.0,0.0,29,0.0
Pain_Forearm_Right,0,0.87,1.0,0.93,320,1.0
Pain_Forearm_Right,1,0.0,0.0,0.0,46,0.0
